info,rate,title,title2,hot,img_url
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,"
                追风筝的人

                
              ",The Kite Runner,"(
                    319906人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1727290.jpg
钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,"
                围城

                
              ",,"(
                    201878人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1070222.jpg
余华 / 南海出版公司 / 1998-5 / 12.00元,9.1,"
                活着

                
              ",,"(
                    149660人评价
                )",https://img3.doubanio.com/view/subject/m/public/s23836852.jpg
[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.6,"
                解忧杂货店

                
              ",ナミヤ雑貨店の奇蹟,"(
                    290414人评价
                )",https://img3.doubanio.com/view/subject/m/public/s27264181.jpg
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1,"
                白夜行

                
              ",白夜行,"(
                    216120人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4610502.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,8.0,"
                挪威的森林

                
              ",ノルウェイの森,"(
                    197048人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1228930.jpg
[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,"
                嫌疑人X的献身

                
              ",容疑者Xの献身,"(
                    168079人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3254244.jpg
[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,8.2,"
                达·芬奇密码

                
              ",The Da Vinci Code,"(
                    132967人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1513425.jpg
柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,"
                看见

                
              ",,"(
                    133423人评价
                )",https://img3.doubanio.com/view/subject/m/public/s24468373.jpg
[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2,"
                百年孤独

                
              ",Cien años de soledad,"(
                    135327人评价
                )",https://img3.doubanio.com/view/subject/m/public/s6384944.jpg
顾漫 / 朝华出版社 / 2007-4 / 15.00元,7.8,"
                何以笙箫默

                
              ",,"(
                    123010人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2529195.jpg
